21:24:36  Enabling developer disk image services.
21:24:36  Acquired usage assertion.
PID     Executable Path                                                                                                                                                                                   
-----   --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1       /sbin/launchd                                                                                                                                                                                     
32      /usr/libexec/UserEventAgent                                                                                                                                                                       
33      /usr/libexec/logd                                                                                                                                                                                 
34      /usr/libexec/runningboardd                                                                                                                                                                        
35      /System/Library/CoreServices/SpringBoard.app/SpringBoard                                                                                                                                          
37      /System/Library/PrivateFrameworks/AssistantServices.framework/assistantd                                                                                                                          
38      /usr/libexec/routined                                                                                                                                                                             
39      /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoted                                                                                                                      
40      /System/Library/Frameworks/Accounts.framework/accountsd                                                                                                                                           
41      /System/Library/PrivateFrameworks/AXAssetLoader.framework/Support/axassetsd                                                                                                                       
44      /System/Library/Frameworks/HealthKit.framework/healthd                                                                                                                                            
45      /usr/libexec/configd                                                                                                                                                                              
47      /System/Library/PrivateFrameworks/TCC.framework/Support/tccd                                                                                                                                      
48      /System/Library/CoreServices/powerd.bundle/powerd                                                                                                                                                 
50      /usr/libexec/atc                                                                                                                                                                                  
51      /usr/sbin/WirelessRadioManagerd                                                                                                                                                                   
52      /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/biomed                                                                                                                           
53      /usr/sbin/wifid                                                                                                                                                                                   
61      /usr/libexec/watchdogd                                                                                                                                                                            
62      /usr/libexec/nfcd                                                                                                                                                                                 
63      /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/identityservicesd                                                                                                           
66      /usr/libexec/thermalmonitord                                                                                                                                                                      
67      /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/contextstored                                                                                                               
68      /usr/libexec/cameracaptured                                                                                                                                                                       
70      /usr/libexec/backboardd                                                                                                                                                                           
72      /usr/libexec/aonsensed                                                                                                                                                                            
73      /usr/libexec/timed                                                                                                                                                                                
74      /usr/libexec/sharingd                                                                                                                                                                             
76      /usr/libexec/locationd                                                                                                                                                                            
77      /usr/libexec/powerexceptionsd                                                                                                                                                                     
80      /usr/libexec/audioaccessoryd                                                                                                                                                                      
83      /usr/libexec/dasd                                                                                                                                                                                 
86      /System/Library/PrivateFrameworks/PassKitCore.framework/passd                                                                                                                                     
94      /usr/libexec/safetyalertsd                                                                                                                                                                        
95      /usr/libexec/rapportd                                                                                                                                                                             
97      /usr/sbin/bluetoothd                                                                                                                                                                              
99      /usr/sbin/fairplayd.H2                                                                                                                                                                            
100     /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter                                                                                                                             
101     /usr/libexec/fseventsd                                                                                                                                                                            
103     /usr/libexec/IOMFB_bics_daemon                                                                                                                                                                    
104     /usr/sbin/distnoted                                                                                                                                                                               
105     /usr/sbin/notifyd                                                                                                                                                                                 
107     /usr/sbin/cfprefsd                                                                                                                                                                                
108     /usr/libexec/containermanagerd_system                                                                                                                                                             
109     /usr/libexec/audiomxd                                                                                                                                                                             
110     /usr/sbin/cfprefsd                                                                                                                                                                                
112     /System/Library/DriverExtensions/com.apple.DriverKit-AppleBCMWLAN.dext/com.apple.DriverKit-AppleBCMWLAN                                                                                           
115     /System/Library/PrivateFrameworks/ChronoCore.framework/Support/chronod                                                                                                                            
116     /usr/libexec/lsd                                                                                                                                                                                  
117     /usr/libexec/securityd                                                                                                                                                                            
118     /System/Library/PrivateFrameworks/SystemStatusServer.framework/Support/systemstatusd                                                                                                              
121     /usr/libexec/powerexperienced                                                                                                                                                                     
125     /usr/libexec/biometrickitd                                                                                                                                                                        
133     /usr/libexec/trustd                                                                                                                                                                               
142     /System/Library/PrivateFrameworks/CalendarDaemon.framework/Support/calaccessd                                                                                                                     
146     /usr/sbin/mDNSResponder                                                                                                                                                                           
149     /System/Library/PrivateFrameworks/ApplePushService.framework/apsd                                                                                                                                 
151     /System/Library/PrivateFrameworks/UserNotificationsCore.framework/Support/usernotificationsd                                                                                                      
155     /usr/libexec/symptomsd                                                                                                                                                                            
